id;name;category;value;updated_at;active
1001;Механическая клавиатура;Электроника;2999.90;2026-01-10T09:15:00;true
1002;Беспроводная мышь;электроника;1599,50;2026-01-11;1
1003;Монитор 24 дюйма;ЭЛЕКТРОНИКА;18490;11.01.2026 14:30;TRUE
1004;Кофейная кружка;Дом;450.00;2026/01/12;да
1005;Настольная лампа;дом;1200;2026-01-13T18:00:00Z;false
1006;Рюкзак городской;Аксессуары;3490.75;2026-01-14;0
1007;Блокнот А5;Канцелярия;120;2026-01-15T10:05:00;yes
1008;Набор ручек;канцелярия;275.40;15.01.2026;no
1009;USB-C кабель;Электроника;890;2026-01-16;TRUE
1010;Портативная колонка;электроника;4 990,00;2026-01-17T12:20:00;1
1011;Термос;Дом;1500.00;2026-01-18;false
1012;Книга Python для начинающих;Книги;1350;2026/01/19;true
1013;Подставка для ноутбука;Аксессуары;;2026-01-20T08:00:00;да
1014;Чехол для телефона;аксессуары;799.99;20.01.2026 16:45;FALSE
1015;Флеш-накопитель 64GB;Электроника;999;2026-01-21;true
;Органайзер для стола;Канцелярия;650;2026-01-22;false
001017;Настенные часы;Дом;2100.00;2026-01-23T19:10:00;0
1018;Наушники;Электроника;3290,00;;1
1019;Ежедневник;Канцелярия;540;2026-01-25;true
1020;Сумка для ноутбука;Аксессуары;2 790;25.01.2026;нет
1021;Увлажнитель воздуха;Дом;4590.30;2026-01-26T07:35:00;TRUE
1022;Веб-камера;электроника;2690;2026-01-27;false
1005;Настольная лампа;Дом;1200;2026-01-13T18:00:00Z;false
1023;Коврик для мыши;Электроника;399;2026-01-28;true
1024;Карандаш механический;канцелярия;85.00;2026-01-29;False
