scenario,method,url,params,body,timeout_seconds,status_code,content_type,duration_seconds,response,error_type,error_detail_type,error_message
CRUD,GET,http://127.0.0.1:8001/api/items,,,10.0,200.0,application/json,0.0247,"[{""name"": ""Механическая клавиатура"", ""category"": ""Электроника"", ""value"": 2999.9, ""updated_at"": ""2026-01-10 09:15:00"", ""active"": true, ""id"": 1001}, {""name"": ""Беспроводная мышь"", ""category"": ""Электроника"", ""value"": 1599.5, ""updated_at"": ""2026-01-11 00:00:00"", ""active"": true, ""id"": 1002}, {""name"": ""Монитор 24 дюйма"", ""category"": ""Электроника"", ""value"": 18490.0, ""updated_at"": ""2026-01-11 14:30:00"", ""active"": true, ""id"": 1003}, {""name"": ""Кофейная кружка"", ""category"": ""Дом"", ""value"": 450.0, ""updated_at"": ""2026-01-12 00:00:00"", ""active"": true, ""id"": 1004}, {""name"": ""Настольная лампа"", ""category"": ""Дом"", ""value"": 1200.0, ""updated_at"": ""2026-01-13 21:00:00"", ""active"": false, ""id"": 1005}, {""name"": ""Рюкзак городской"", ""category"": ""Аксессуары"", ""value"": 3490.75, ""updated_at"": ""2026-01-14 00:00:00"", ""active"": false, ""id"": 1006}, {""name"": ""Блокнот А5"", ""category"": ""Канцелярия"", ""value"": 120.0, ""updated_at"": ""2026-01-15 10:05:00"", ""active"": true, ""id"": 1007}, {""name"": ""Набор ручек"", ""category"": ""Канцелярия"", ""value"": 275.4, ""updated_at"": ""2026-01-15 00:00:00"", ""active"": false, ""id"": 1008}, {""name"": ""USB-C кабель"", ""category"": ""Электроника"", ""value"": 890.0, ""updated_at"": ""2026-01-16 00:00:00"", ""active"": true, ""id"": 1009}, {""name"": ""Портативная колонка"", ""category"": ""Электроника"", ""value"": null, ""updated_at"": ""2026-01-17 12:20:00"", ""active"": true, ""id"": 1010}, {""name"": ""Термос"", ""category"": ""Дом"", ""value"": 1500.0, ""updated_at"": ""2026-01-18 00:00:00"", ""active"": false, ""id"": 1011}, {""name"": ""Книга Python для начинающих"", ""category"": ""Книги"", ""value"": 1350.0, ""updated_at"": ""2026-01-19 00:00:00"", ""active"": true, ""id"": 1012}, {""name"": ""Подставка для ноутбука"", ""category"": ""Аксессуары"", ""value"": null, ""updated_at"": ""2026-01-20 08:00:00"", ""active"": true, ""id"": 1013}, {""name"": ""Чехол для телефона"", ""category"": ""Аксессуары"", ""value"": 799.99, ""updated_at"": ""2026-01-20 16:45:00"", ""active"": false, ""id"": 1014}, {""name"": ""Флеш-накопитель 64GB"", ""category"": ""Электроника"", ""value"": 999.0, ""updated_at"": ""2026-01-21 00:00:00"", ""active"": true, ""id"": 1015}, {""name"": ""Настенные часы"", ""category"": ""Дом"", ""value"": 2100.0, ""updated_at"": ""2026-01-23 19:10:00"", ""active"": false, ""id"": 1017}, {""name"": ""Наушники"", ""category"": ""Электроника"", ""value"": 3290.0, ""updated_at"": null, ""active"": true, ""id"": 1018}, {""name"": ""Ежедневник"", ""category"": ""Канцелярия"", ""value"": 540.0, ""updated_at"": ""2026-01-25 00:00:00"", ""active"": true, ""id"": 1019}, {""name"": ""Сумка для ноутбука"", ""category"": ""Аксессуары"", ""value"": null, ""updated_at"": ""2026-01-25 00:00:00"", ""active"": false, ""id"": 1020}, {""name"": ""Увлажнитель воздуха"", ""category"": ""Дом"", ""value"": 4590.3, ""updated_at"": ""2026-01-26 07:35:00"", ""active"": true, ""id"": 1021}, {""name"": ""Веб-камера"", ""category"": ""Электроника"", ""value"": 2690.0, ""updated_at"": ""2026-01-27 00:00:00"", ""active"": false, ""id"": 1022}, {""name"": ""Коврик для мыши"", ""category"": ""Электроника"", ""value"": 399.0, ""updated_at"": ""2026-01-28 00:00:00"", ""active"": true, ""id"": 1023}, {""name"": ""Карандаш механический"", ""category"": ""Канцелярия"", ""value"": 85.0, ""updated_at"": ""2026-01-29 00:00:00"", ""active"": false, ""id"": 1024}]",,,
CRUD,POST,http://127.0.0.1:8001/api/items,,"{""id"": 1111, ""name"": ""Шоколадка"", ""category"": ""Еда"", ""value"": 1000000.0, ""updated_at"": ""2026-09-16T15:00:00"", ""active"": true}",10.0,201.0,application/json,0.0146,"{""name"": ""Шоколадка"", ""category"": ""Еда"", ""value"": 1000000.0, ""updated_at"": ""2026-09-16T15:00:00"", ""active"": true, ""id"": 1111}",,,
CRUD,PUT,http://127.0.0.1:8001/api/items/1111,,"{""name"": ""Шоколадка 3000 Жидкая нуга"", ""category"": ""Гипер еда"", ""value"": 2000000.0, ""updated_at"": ""2026-09-16T18:00:00"", ""active"": true}",10.0,200.0,application/json,0.016,"{""name"": ""Шоколадка 3000 Жидкая нуга"", ""category"": ""Гипер еда"", ""value"": 2000000.0, ""updated_at"": ""2026-09-16T18:00:00"", ""active"": true, ""id"": 1111}",,,
CRUD,PATCH,http://127.0.0.1:8001/api/items/1111,,"{""active"": false}",10.0,200.0,application/json,0.0029,"{""name"": ""Шоколадка 3000 Жидкая нуга"", ""category"": ""Гипер еда"", ""value"": 2000000.0, ""updated_at"": ""2026-09-16T18:00:00"", ""active"": false, ""id"": 1111}",,,
CRUD,GET,http://127.0.0.1:8001/api/items/1111,,,10.0,200.0,application/json,0.0025,"{""name"": ""Шоколадка 3000 Жидкая нуга"", ""category"": ""Гипер еда"", ""value"": 2000000.0, ""updated_at"": ""2026-09-16T18:00:00"", ""active"": false, ""id"": 1111}",,,
CRUD,DELETE,http://127.0.0.1:8001/api/items/1111,,,10.0,204.0,,0.0246,,,,
CRUD,GET,http://127.0.0.1:8001/api/items/1111,,,10.0,404.0,application/json,0.0159,"{""detail"": ""Объект не найден""}",,,
ERROR nonexistent id,GET,http://127.0.0.1:8001/api/items/999999,,,10.0,404.0,application/json,0.0149,"{""detail"": ""Объект не найден""}",HTTPError,HTTPError,404 Client Error: Not Found for url: http://127.0.0.1:8001/api/items/999999
ERROR connection,GET,http://127.0.0.1:8999/api/items,,,2.0,,,2.0094,,ConnectionError,ConnectTimeout,"HTTPConnectionPool(host='127.0.0.1', port=8999): Max retries exceeded with url: /api/items (Caused by ConnectTimeoutError(<HTTPConnection(host='127.0.0.1', port=8999) at 0x2af63aeca90>, 'Connection to 127.0.0.1 timed out. (connect timeout=2)'))"
ERROR timeout,GET,http://127.0.0.1:8001/api/test/slow,"{""delay"": 2}",,0.1,,,0.1095,,Timeout,ReadTimeout,"HTTPConnectionPool(host='127.0.0.1', port=8001): Read timed out. (read timeout=0.1)"
